Departamento,Dg12,Dg15,Dg25,Dg26,Dg27,Dg29,Dg31,Dg32,Dg33,Dg34,Dg35,Dg36,Dg37,Dg38,Dg39,Dg40,Dg41,Dg42,Dg43,Dg44
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.66,3.4,7.4,3.2,2.1,2.1,15,12,21,15,17,7,17,29
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.6,3,8.9,3.7,2.1,2.1,16,21,21,11,14,9,17,29
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.5,3,7,3.9,2.1,1.9,12,23,18,11,14,7,18,29
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.55,3,7.9,4,1.9,1.9,16,19,18,14,15,7,18,29
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.3,2.9,7.4,3.1,2.1,1.5,14,18,20,9,11.5,6.5,15,29.5
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.7,2.9,8.5,3.6,2,2,16,22,19,8,12,6,12,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.81,3.2,7.5,3.3,3,2,17,22,22,9,17,8,12,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.27,2.9,6.3,2.9,3,2,14,19,18,8,10,6,13,30
Estelí,Hembra,Mediana,Amarillo,Negro,Rojo,Otro,1.8,2.8,7.4,3.4,2,1.2,14,23,21,10,14,7,13,30
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.49,3,7,3.1,2.1,21,15,19,22,9,13,8,13,30
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.38,2.9,7.2,3.2,1,1,15,19,18,8.5,11,6,14,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.64,3,8.1,3.2,2.5,2.5,12,24,21,9,11,6.5,14,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.8,3.1,7,3.4,1.3,1.3,17,21,22,11,15,10,14,30
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.43,3,7,3.1,3,2,14,19,17,8,11,5.5,15,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.37,2.8,7,2.8,1.5,1.3,17,20,20,9,11,6,15,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.33,2.8,7.5,3.3,2,1.5,18,19,19,9.5,11.5,6,15,30
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2,2.8,7.4,3.1,2.5,1.5,15,20,20,8,12,6,15,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2.1,2.9,7.7,3.6,2.2,2.2,15,23,23,9,13,6,15,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.76,3,7.5,3.4,2.1,1,15,18,18,8,12,6.5,15,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.79,3,7.2,3.1,3,1.5,15,21,21,9.5,12.5,6.5,15,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.6,2.6,6.9,3.1,3,1.5,15,18,18,8,11,7,15,30
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.83,2.7,7.7,3.2,3,2,15,18,19,9,12.5,7,15,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.54,3.2,8,3,2.5,1,14,22.5,21,9,13,7,15,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.63,3.1,8.4,3.3,2.5,2.5,15,22,22,9,14,7.5,15,30
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.5,7.8,3.9,2,2,1.2,12,22,17,12,13,8,15,30
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.62,3.1,8,3.3,2.2,1.2,12,19,19,13,14,8,15,30
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.62,3,7.9,4,1,1,13,18,20,10,15,8,15,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.5,3,7,3.3,2,2,13,19,20,12,14,9,15,30
